Probeset_ID,Symbol,Time,Values,JTKP,JTKQ,JTKperiod,JTKphase,Tissue
10556463,Arntl,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,167.8;360.7;350.3;428.6;380.1;268.8;152.3;89.5;62.1;63.9;67.2;122.1;186.2;369.7;384.0;434.6;419.5;200.7;121.2;64.5;56.8;55.7;99.8;154.5,5.51165e-12,1.48939e-07,24.0,0.0,heart
10487040,Fbn1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,445.5;621.5;666.8;710.1;773.4;854.8;810.0;689.9;536.2;493.8;379.6;436.9;463.0;657.1;762.9;766.9;847.2;773.9;744.7;669.3;515.4;418.7;363.5;447.6,1.25666e-11,1.48939e-07,24.0,3.0,heart
10518781,Per3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,339.6;199.2;162.6;153.4;176.1;223.4;322.7;516.5;525.4;546.3;468.4;408.4;299.5;196.4;175.3;161.1;145.5;304.3;425.6;526.5;529.6;542.0;366.4;359.1,1.25666e-11,1.48939e-07,24.0,12.0,heart
10433219,Nat15,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1292.6;1167.5;1082.6;1026.7;998.5;886.5;999.9;1059.5;1087.8;1168.3;1255.4;1320.1;1290.4;1248.3;1150.3;1096.7;1057.2;871.5;946.5;1050.0;1181.4;1126.4;1216.8;1240.3,2.77038e-11,2.46259e-07,26.0,17.0,heart
10363773,Rhobtb1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1101.3;1048.6;841.1;576.2;667.9;564.3;1014.2;1185.4;1378.0;1507.0;1374.8;1308.2;1048.3;962.2;919.3;652.0;687.1;857.7;895.0;1335.6;1372.5;1567.7;1382.8;1217.2,1.22923e-10,8.74131e-07,24.0,13.0,heart
10356601,Per2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,290.6;195.7;183.4;138.7;140.6;111.2;233.0;391.1;410.1;425.1;451.8;389.9;264.3;187.5;194.5;148.5;122.8;185.0;234.6;389.6;419.4;488.5;397.2;313.5,2.48458e-10,1.47236e-06,24.0,13.0,heart
10446965,Rasgrp3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1055.3;1138.4;1036.3;1121.3;1118.8;1005.3;984.7;1004.4;854.3;849.7;870.2;917.5;974.6;1026.5;1056.7;1159.1;1081.2;1074.2;1004.7;934.9;867.5;818.0;812.7;902.9,9.4304e-10,3.35307e-06,26.0,23.0,heart
10365482,Timp3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,2199.7;1939.1;1932.9;1606.5;1435.5;1407.1;1799.6;2145.2;2507.2;2635.9;2720.5;2526.6;2028.7;1888.2;1763.8;1462.4;1540.8;1644.0;1786.4;2306.6;2587.7;2679.5;2385.0;2110.9,9.4304e-10,3.35307e-06,23.0,14.0,heart
10425601,Tef,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,617.5;457.7;352.5;357.7;338.2;357.3;446.0;629.3;670.4;806.4;772.9;668.3;601.5;474.1;431.7;404.7;314.9;472.5;547.9;718.3;748.2;797.0;683.9;653.4,9.4304e-10,3.35307e-06,24.0,13.0,heart
10390691,Nr1d1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,559.1;459.6;750.3;904.8;1534.6;2504.3;2371.6;2501.5;2003.0;1472.8;980.0;630.5;444.9;498.9;585.7;634.4;1181.9;2657.3;2937.3;2289.6;1902.9;1195.1;662.6;454.4,9.4304e-10,3.35307e-06,24.0,7.0,heart
10529264,Spon2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,79.8;83.8;109.5;124.8;136.1;115.0;96.1;73.0;66.1;69.7;71.3;75.6;85.1;104.6;135.7;115.4;170.1;89.0;84.6;75.2;70.6;70.7;78.0;90.4,1.7763e-09,4.85832e-06,22.0,2.0,heart
10359582,Fmo2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,896.4;733.6;551.1;467.9;413.7;332.1;369.4;532.9;679.7;920.1;1118.9;1139.2;819.8;580.3;614.3;535.9;469.9;497.4;436.5;679.6;855.9;1019.8;1167.6;1062.2,1.7763e-09,4.85832e-06,24.0,15.0,heart
10440993,Rcan1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1090.1;1206.1;1211.2;1307.4;1236.7;1040.7;875.1;787.9;729.7;691.1;725.4;842.5;1038.7;1203.0;1448.6;1384.0;1476.6;808.2;875.6;725.8;719.1;701.6;779.3;897.9,1.7763e-09,4.85832e-06,24.0,0.0,heart
10389581,Ypel2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,437.5;447.5;456.6;363.2;395.5;278.0;209.9;224.3;243.3;260.5;289.7;340.7;377.6;449.8;438.6;430.3;418.3;266.9;254.1;246.3;234.9;271.0;294.4;410.3,3.2773e-09,6.85456e-06,24.0,21.0,heart
10417734,Nr1d2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1285.3;1033.9;861.2;829.3;1200.9;1357.5;1586.4;1991.0;1902.5;1996.1;1661.5;1500.4;1346.0;923.1;912.8;857.4;943.7;1676.6;1764.4;2005.0;2010.8;1891.8;1458.9;1311.0,3.2773e-09,6.85456e-06,24.0,11.0,heart
10540059,Slc41a3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,806.8;1374.5;1499.3;1550.5;1624.9;1650.6;1287.9;1138.1;792.3;731.5;523.3;724.8;869.4;1484.0;1477.8;1358.8;1537.1;1425.6;1198.4;934.9;635.7;683.1;552.3;753.4,3.2773e-09,6.85456e-06,24.0,2.0,heart
10375402,Adam19,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,523.4;759.6;690.8;609.2;740.6;510.9;374.3;304.6;252.6;296.7;264.4;425.2;515.4;668.7;782.5;619.7;715.6;390.6;305.7;270.3;246.4;261.0;293.4;466.8,3.2773e-09,6.85456e-06,24.0,23.0,heart
10530733,Clock,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,783.3;938.3;860.0;982.0;999.3;931.3;849.1;750.1;611.1;634.5;644.0;736.4;765.3;943.7;998.0;1044.5;1090.2;918.6;766.8;702.1;614.2;577.8;675.3;785.6,5.92987e-09,1.1097e-05,24.0,0.0,heart
10363224,Fabp7,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,92.0;112.3;137.5;169.5;208.1;201.1;158.0;116.8;101.1;104.6;93.8;95.7;107.4;113.6;129.1;146.0;181.5;217.3;152.6;114.2;100.3;81.5;99.5;89.3,5.92987e-09,1.1097e-05,24.0,3.0,heart
10530692,Kdr,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1272.0;1457.7;1325.5;1627.4;1510.2;1636.5;1266.9;1362.4;1047.1;1043.3;941.2;1193.6;1318.2;1616.1;1669.8;1726.6;1680.9;1549.0;1302.5;1216.6;1099.6;1011.9;1068.4;1162.1,1.05336e-08,1.6284e-05,24.0,1.0,heart
10380887,Tcap,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,899.5;696.0;650.0;622.4;925.3;1302.5;1649.2;1844.3;2123.7;2171.6;1569.1;1281.0;732.7;741.4;810.6;732.5;778.6;2009.0;1704.0;2082.7;2069.7;2079.7;1603.0;1218.1,1.05336e-08,1.6284e-05,24.0,10.0,heart
10518526,Angptl7,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,208.2;133.4;102.3;76.6;79.0;79.1;69.0;84.5;99.0;110.4;199.8;283.2;164.7;128.2;144.5;108.8;85.6;62.1;74.9;86.1;163.7;128.0;203.8;218.1,1.05336e-08,1.6284e-05,24.0,17.0,heart
10535841,Slc46a3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,575.3;461.1;379.2;360.1;372.2;298.9;312.0;385.4;453.5;509.6;498.3;549.8;489.9;441.8;441.2;394.1;358.9;322.7;359.9;446.3;522.0;525.4;527.1;535.8,1.05336e-08,1.6284e-05,24.0,16.0,heart
10353450,Gm4956,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,54.9;49.7;40.5;40.4;39.2;34.5;38.2;42.7;49.7;51.0;52.8;52.3;46.0;42.0;43.0;41.0;38.0;39.6;44.6;45.6;52.9;53.2;48.3;46.7,1.4461e-08,2.1424e-05,22.0,15.0,heart
10411459,Tmem171,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,424.4;428.1;457.8;454.0;421.4;360.0;242.0;165.9;193.8;185.8;260.4;307.1;382.4;443.9;413.3;421.3;380.1;275.1;251.2;170.0;168.1;132.8;278.2;398.5,1.83884e-08,2.25454e-05,24.0,22.0,heart
10556487,,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,75.3;141.5;155.9;119.7;89.5;72.4;57.1;49.4;49.0;49.9;54.9;61.1;84.4;112.3;113.6;125.9;95.9;61.7;54.8;46.1;58.2;50.5;76.7;73.0,1.83884e-08,2.25454e-05,24.0,22.0,heart
10389786,Hlf,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,376.7;315.0;301.0;252.8;257.8;253.7;333.3;459.7;500.8;507.3;512.5;433.5;372.8;298.5;302.3;306.9;260.7;338.7;388.9;479.6;522.6;554.1;441.8;403.0,1.83884e-08,2.25454e-05,24.0,12.0,heart
10556442,Tead1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1900.8;2138.5;2085.1;1978.1;1812.9;1749.0;1662.4;1716.2;1602.1;1688.0;1740.4;1752.8;1909.6;2018.1;2054.5;1889.0;1873.4;1712.3;1670.8;1648.6;1485.7;1562.2;1612.0;1732.6,1.83884e-08,2.25454e-05,25.0,21.0,heart
10558961,Tspan4,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,521.3;398.2;320.3;346.7;364.4;426.9;532.7;823.5;845.9;793.2;732.9;627.7;460.7;396.9;408.7;406.7;345.4;575.5;636.8;788.2;903.3;908.8;664.1;557.5,1.83884e-08,2.25454e-05,24.0,11.5,heart
10418729,Colq,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,213.2;210.9;241.1;240.4;244.8;229.1;191.4;192.9;181.5;161.1;168.0;179.3;190.6;242.5;267.0;272.7;219.6;209.5;207.7;165.3;165.8;152.6;174.6;202.8,3.15749e-08,3.40206e-05,24.0,0.0,heart
10401443,Fam161b,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,248.8;249.4;217.4;186.1;171.7;159.2;154.1;170.9;160.5;190.5;223.9;254.6;240.9;219.1;190.1;199.4;182.5;172.5;155.2;190.6;176.9;214.7;233.5;254.8,3.15749e-08,3.40206e-05,24.0,18.0,heart
10494023,Rorc,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,971.9;926.4;791.3;797.5;626.1;527.9;465.4;533.4;534.8;557.3;680.3;773.4;783.3;925.7;914.2;783.1;665.9;537.2;474.8;545.2;523.6;620.2;663.3;845.9,3.15749e-08,3.40206e-05,25.0,19.0,heart
10485198,Tspan18,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,296.4;322.7;316.4;318.6;345.7;311.2;313.9;268.5;220.9;204.2;243.4;274.3;287.3;314.5;320.0;409.9;422.7;341.9;285.0;274.2;240.9;222.5;255.8;271.9,3.15749e-08,3.40206e-05,24.0,0.0,heart
10345675,Npas2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,159.5;262.2;367.7;394.7;400.6;323.2;173.6;140.3;117.4;117.3;132.2;133.7;152.0;307.7;308.1;383.8;405.3;254.2;155.7;129.3;109.7;137.6;117.8;159.9,5.33749e-08,4.62877e-05,24.0,0.0,heart
10553092,Dbp,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,546.9;225.3;228.4;199.6;291.5;582.8;1022.3;1604.3;1585.3;1489.7;994.6;713.0;493.5;278.5;220.3;215.7;181.6;871.6;1217.1;1586.6;1694.5;1293.1;645.8;518.7,5.33749e-08,4.62877e-05,24.0,10.5,heart
10411782,Pik3r1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,2404.9;2385.2;2331.1;1869.8;1909.9;1792.2;1924.2;2157.2;2562.7;2867.7;2742.3;3042.6;2596.7;2290.7;2312.2;2083.2;2022.8;1943.8;1972.6;2341.9;2479.6;3180.1;3102.6;2796.6,5.33749e-08,4.62877e-05,24.0,15.0,heart
10598638,Mid1ip1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,976.6;654.4;622.3;543.6;516.4;505.4;599.2;767.7;840.3;849.9;996.3;896.0;745.2;759.1;670.6;593.2;528.9;547.0;612.5;867.6;933.5;903.9;986.2;1008.3,5.33749e-08,4.62877e-05,24.0,15.0,heart
10604751,Fgf13,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,487.7;468.5;444.0;467.5;480.8;497.0;499.2;585.4;603.9;566.8;590.1;542.2;471.0;441.9;445.8;487.9;476.3;541.0;540.6;573.9;604.0;626.5;583.8;536.0,5.33749e-08,4.62877e-05,24.0,11.0,heart
10556456,Tead1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,2745.9;3135.3;2982.4;2790.8;2698.7;2637.9;2329.3;2531.3;2328.2;2470.8;2477.0;2580.2;2915.2;3028.5;3006.7;2943.4;2756.6;2546.8;2294.4;2422.5;2124.0;2197.8;2409.1;2602.5,5.33749e-08,4.62877e-05,25.0,21.0,heart
10514939,Podn,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,524.6;376.5;406.8;303.8;277.6;273.8;318.8;370.9;418.1;468.8;538.5;496.3;498.3;386.0;387.3;364.6;344.0;323.1;358.1;401.5;437.4;437.5;488.3;533.2,5.33749e-08,4.62877e-05,24.0,16.0,heart
10541532,Foxj2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,877.9;974.2;1083.3;1038.1;975.7;914.6;844.0;805.6;762.5;727.6;753.8;854.5;829.0;957.1;942.5;962.3;925.4;857.6;795.1;771.5;686.6;730.5;709.2;895.5,5.33749e-08,4.62877e-05,24.0,0.0,heart
10584561,9030425E11Rik,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,91.9;90.7;97.4;130.2;112.1;101.2;99.1;85.2;75.1;73.4;65.8;64.4;95.3;94.2;97.4;114.3;114.3;112.3;90.3;96.5;75.2;63.1;72.7;84.9,8.8892e-08,6.4503e-05,24.0,2.0,heart
10389701,Akap1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1172.6;1299.2;1242.8;1352.3;1248.0;1228.5;1057.5;1108.3;947.3;1031.9;984.8;1058.9;1130.2;1403.7;1438.9;1337.0;1280.0;1175.6;1117.8;1082.4;880.2;981.7;963.5;1083.2,8.8892e-08,6.4503e-05,24.0,23.5,heart
10540085,Fbln2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,726.1;702.7;712.7;656.4;603.7;573.2;596.4;652.3;670.9;673.9;714.2;793.9;733.9;903.3;946.0;683.9;710.2;646.3;601.4;625.0;671.5;638.2;683.3;749.9,8.8892e-08,6.4503e-05,28.0,19.0,heart
10586722,F830001A07Rik,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,419.5;382.9;388.8;289.0;307.1;315.1;325.6;352.3;406.5;447.0;437.0;398.0;387.7;342.7;315.9;263.3;275.9;305.0;371.5;403.4;395.6;439.7;414.7;432.6,8.8892e-08,6.4503e-05,24.0,14.0,heart
10483000,Itgb6,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,702.5;695.5;713.6;784.0;771.7;729.5;651.7;621.3;515.2;530.0;547.2;616.5;642.4;644.4;699.4;803.1;827.3;742.8;604.3;566.5;538.8;525.8;503.6;596.4,8.8892e-08,6.4503e-05,25.0,0.5,heart
10488382,Cd93,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1585.0;1730.6;1644.5;1856.2;1687.1;1618.9;1667.7;1650.8;1230.0;1220.4;1242.3;1402.5;1589.0;1674.5;1691.9;1841.3;1908.7;1633.9;1513.6;1379.1;1223.6;1213.9;1204.2;1463.4,8.8892e-08,6.4503e-05,24.0,0.0,heart
10504775,Col15a1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,300.2;333.7;395.3;383.6;412.4;453.1;425.5;430.1;346.9;339.0;309.0;317.1;320.4;405.6;424.4;438.3;432.8;378.5;397.0;379.8;336.2;326.1;302.3;339.3,8.8892e-08,6.4503e-05,22.0,5.0,heart
10538459,Aqp1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,2280.9;2125.2;2145.5;1972.6;1786.7;1636.5;1784.4;1977.8;2128.3;2249.6;2523.6;2464.1;2346.5;2474.8;2382.7;2098.8;1960.3;1795.1;1754.7;1791.7;2192.4;2248.5;2530.3;2347.3,8.8892e-08,6.4503e-05,26.0,17.0,heart
10512279,Cntfr,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,191.5;165.0;143.4;124.5;130.6;138.1;145.4;153.7;147.0;160.1;201.0;211.9;188.3;161.7;188.8;151.4;143.1;138.1;133.9;142.5;157.8;163.7;195.6;228.8,1.17426e-07,8.35037e-05,28.0,16.0,heart
